DATA design01-um5g-45k nextpnr 0 117.33 10 5 5
DATA design01-um5g-45k nextpnr 1 125.03 9 4 5
DATA design01-um5g-45k nextpnr 2 119.03 10 5 5
DATA design01-um5g-45k nextpnr 3 120.29 10 5 5
DATA design01-um5g-45k nextpnr 4 123.64 11 5 6
DATA design01-um5g-45k nextpnr 5 120.12 10 5 5
DATA design01-um5g-45k nextpnr 6 120.26 12 6 6
DATA design01-um5g-45k nextpnr 7 116.52 10 6 4
DATA design01-um5g-45k nextpnr 8 119.70 11 6 5
DATA design01-um5g-45k nextpnr 9 122.13 11 6 5
DATA design02-um5g-45k nextpnr 0  75.74 125 67 58
DATA design02-um5g-45k nextpnr 1  69.76 135 75 60
DATA design02-um5g-45k nextpnr 2  80.50 135 72 63
DATA design02-um5g-45k nextpnr 3  70.79 145 75 70
DATA design02-um5g-45k nextpnr 4  74.32 125 64 61
DATA design02-um5g-45k nextpnr 5  75.59 122 63 59
DATA design02-um5g-45k nextpnr 6  75.82 121 64 57
DATA design02-um5g-45k nextpnr 7  74.83 108 48 60
DATA design02-um5g-45k nextpnr 8  74.75 130 69 61
DATA design02-um5g-45k nextpnr 9  70.63 121 62 59
DATA design03-25k nextpnr 0  83.93 2 1 1
DATA design03-25k nextpnr 1  90.23 1 1 0
DATA design03-25k nextpnr 2  86.39 1 1 0
DATA design03-25k nextpnr 3  82.42 2 1 1
DATA design03-25k nextpnr 4  89.72 1 1 0
DATA design03-25k nextpnr 5  89.57 2 1 1
DATA design03-25k nextpnr 6  87.75 1 1 0
DATA design03-25k nextpnr 7  85.95 1 1 0
DATA design03-25k nextpnr 8  83.61 2 1 1
DATA design03-25k nextpnr 9  90.06 1 1 0
DATA design03-85k nextpnr 0  80.85 2 2 0
DATA design03-85k nextpnr 1  85.65 1 1 0
DATA design03-85k nextpnr 2  85.99 1 1 0
DATA design03-85k nextpnr 3  83.38 2 1 1
DATA design03-85k nextpnr 4  83.80 2 1 1
DATA design03-85k nextpnr 5  88.46 1 1 0
DATA design03-85k nextpnr 6  85.49 2 1 1
DATA design03-85k nextpnr 7  90.83 1 1 0
DATA design03-85k nextpnr 8  84.26 1 1 0
DATA design03-85k nextpnr 9  86.54 2 1 1
